path,id,source_id,title,status,severity,source_table
execution/suspicious-ai-cli-noninteractive-trust-all-tools.yml,SPLK-EXEC-0007,SENT-EXEC-0007,Suspicious AI CLI Noninteractive Trust-All-Tools Execution,production,medium,DeviceProcessEvents
exfiltration/Onedrive-File-Exfil.yml,SPLK-EXFIL-0008,SENT-EXFIL-0008,OneDrive File Upload Activity,production,medium,CloudAppEvents
exfiltration/archive-creation-followed-by-external-transfer.yml,SPLK-EXFIL-0002,SENT-EXFIL-0002,Archive Creation Followed by External Transfer,production,high,DeviceFileEvents
exfiltration/azcopy-or-cloud-cli-bulk-export.yml,SPLK-EXFIL-0004,SENT-EXFIL-0004,AzCopy or Cloud CLI Bulk Export Activity,production,high,DeviceProcessEvents
exfiltration/exfiltration-uncommon-port.yml,SPLK-EXFIL-0007,SENT-EXFIL-0007,Exfiltration Over Uncommon Port,production,high,DeviceNetworkEvents
exfiltration/onedrive-or-cloud-storage-bulk-upload-spike.yml,SPLK-EXFIL-0003,SENT-EXFIL-0003,OneDrive or Cloud Storage Bulk Upload Spike,production,medium,CloudAppEvents
exfiltration/powershell-email-exfiltration-with-attachments.yml,SPLK-EXFIL-0001,SENT-EXFIL-0001,PowerShell Email Exfiltration with Attachments,production,high,DeviceProcessEvents
exfiltration/quick_assist_winscp_google_drive.yml,SPLK-EXFIL-0009,SENT-EXFIL-0009,Quick Assist Followed by WinSCP or Google Drive Exfiltration Activity,production,high,DeviceProcessEvents
exfiltration/sharepoint-or-onedrive-bulk-download-by-newly-risky-user.yml,SPLK-EXFIL-0006,SENT-EXFIL-0006,SharePoint or OneDrive Bulk Download by Newly Risky User,production,high,SigninLogs
impact/boot-configuration-or-recovery-tampering.yml,SPLK-IMPACT-0003,SENT-IMPACT-0003,Boot Configuration or Recovery Tampering,production,high,DeviceProcessEvents
impact/mass-file-rename-or-encryption-burst.yml,SPLK-IMPACT-0002,SENT-IMPACT-0002,Mass File Rename or Encryption Burst,production,high,DeviceFileEvents
impact/remote_smb_encryption.yml,SPLK-IMPACT-0005,SENT-IMPACT-0005,Potential Remote SMB Encryption From Single Source Host,production,high,SecurityEvent
impact/volume-shadow-copy-deletion.yml,SPLK-IMPACT-0001,SENT-IMPACT-0001,Volume Shadow Copy Deletion,production,high,DeviceProcessEvents
initial-access/device-code-sign-in-followed-by-device-registration.yml,SPLK-INIT-0004,SENT-INIT-0004,Device Code Sign-In Followed by Device Registration,production,high,SigninLogs
initial-access/multiple-user-device-code-sign-ins.yml,SPLK-INIT-0001,SENT-INIT-0001,Multiple User Device Code Sign-Ins,production,high,SigninLogs
initial-access/oauth-redirection-abuse-url-click.yml,SPLK-INIT-0005,SENT-INIT-0005,OAuth Redirection Abuse URL Click,production,high,UrlClickEvents
initial-access/potential-spearphishing-attachment-execution.yml,SPLK-INIT-0003,SENT-INIT-0003,Potential Spearphishing Attachment Execution,production,high,DeviceProcessEvents
initial-access/suspicious-external-remote-service-sign-in.yml,SPLK-INIT-0002,SENT-INIT-0002,Suspicious External Remote Service Sign-In,production,high,SigninLogs
initial-access/teams-external-contact-followed-by-quick-assist.yml,SPLK-INIT-0006,SENT-INIT-0006,Teams External Contact Followed by Quick Assist,production,medium,OfficeActivity
lateral-movement/remote-scheduled-task-creation.yml,SPLK-LAT-0002,SENT-LAT-0002,Remote Scheduled Task Creation,production,high,DeviceProcessEvents
lateral-movement/remote-service-creation.yml,SPLK-LAT-0001,SENT-LAT-0001,Remote Service Creation,production,high,DeviceProcessEvents
lateral-movement/wmi-remote-process-execution.yml,SPLK-LAT-0003,SENT-LAT-0003,WMI Remote Process Execution,production,high,DeviceProcessEvents
persistence/cleanup-loader-scheduled-task-rundll32-dllregisterserver.yml,SPLK-PERS-0004,SENT-PERS-0004,CleanUpLoader Scheduled Task Rundll32 DLLRegisterServer,production,high,DeviceProcessEvents
persistence/m365_inbox_rule_forward_delete.yml,SPLK-PERS-0009,SENT-PERS-0009,Suspicious Microsoft 365 Inbox Rule for Forwarding or Deletion,production,high,OfficeActivity
persistence/nodejs-guid-installer-scheduled-task.yml,SPLK-PERS-0006,SENT-PERS-0006,Node.js Installer or GUID-Named App Followed by Scheduled Task Persistence,production,medium,DeviceProcessEvents
persistence/random-appdata-roaming-dll-drop-followed-by-task.yml,SPLK-PERS-0005,SENT-PERS-0005,Random AppData Roaming DLL Drop Followed by Scheduled Task,production,high,DeviceFileEvents
persistence/registry-run-key-modification.yml,SPLK-PERS-0001,SENT-PERS-0001,Registry Run Key Modification,production,high,DeviceRegistryEvents
persistence/service-binary-path-hijack.yml,SPLK-PERS-0003,SENT-PERS-0003,Service Binary Path Hijack,production,high,DeviceProcessEvents
persistence/suspicious-scheduled-task-creation.yml,SPLK-PERS-0002,SENT-PERS-0002,Suspicious Scheduled Task Creation,production,high,DeviceProcessEvents
privilege-escalation/dll-injection.yml,SPLK-PRIVESC-0004,SENT-PRIVESC-0004,Potential DLL Injection Tooling or Command Artifacts,production,high,DeviceProcessEvents
privilege-escalation/event-viewer-uac-bypass-registry-hijack.yml,SPLK-PRIVESC-0001,SENT-PRIVESC-0001,Event Viewer UAC Bypass Registry Hijack,production,high,DeviceRegistryEvents
privilege-escalation/suspicious-service-creation-for-elevation.yml,SPLK-PRIVESC-0003,SENT-PRIVESC-0003,Suspicious Service Creation for Elevation,production,high,DeviceProcessEvents
privilege-escalation/suspicious-token-manipulation-or-sedebug-use.yml,SPLK-PRIVESC-0002,SENT-PRIVESC-0002,Suspicious Token Manipulation or SeDebug Use,production,high,DeviceProcessEvents
reconnaissance/External-Lookup-Tool-Usage.yml,SPLK-RECON-0003,SENT-RECON-0003,External Lookup Tool Usage,production,low,DeviceProcessEvents
reconnaissance/external-network-scanner-execution.yml,SPLK-RECON-0001,SENT-RECON-0001,External Network Scanner Execution,production,medium,DeviceProcessEvents
reconnaissance/whoami-and-net-enumeration-burst.yml,SPLK-RECON-0002,SENT-RECON-0002,Whoami and Net Enumeration Burst,production,medium,DeviceProcessEvents
resource-development/bulk-mailbox-or-rule-creation.yml,SPLK-RESDEV-0002,SENT-RESDEV-0002,Bulk Mailbox or Inbox Rule Creation Activity,production,medium,OfficeActivity
resource-development/suspicious-azure-ad-application-registration.yml,SPLK-RESDEV-0001,SENT-RESDEV-0001,Suspicious Azure AD Application Registration,production,high,AuditLogs
resource-development/suspicious-trufflehog-secret-scanning.yml,SPLK-RESDEV-0005,SENT-RESDEV-0005,Suspicious TruffleHog Secret Scanning,production,medium,DeviceProcessEvents
resource-development/user-click-spike-to-suspicious-domain.yml,SPLK-RESDEV-0003,SENT-RESDEV-0003,User Click Spike to Suspicious Domain,production,medium,UrlClickEvents
exfiltration/cloud-storage-public-access-or-immutability-removal.yml,SPLK-EXFIL-0005,SENT-EXFIL-0005,Cloud Storage Public Access or Immutability Removal,testing,high,AzureActivity
impact/cloud-backup-or-storage-mass-delete-burst.yml,SPLK-IMPACT-0004,SENT-IMPACT-0004,Cloud Backup or Storage Mass Delete Burst,testing,high,AzureActivity
persistence/entra_control_plane_abuse.yml,SPLK-PERS-0008,SENT-PERS-0008,Suspicious Entra ID Control-Plane Changes by Nonstandard Actor,testing,high,AuditLogs
resource-development/new-app-secret-added-then-service-principal-signin.yml,SPLK-RESDEV-0007,SENT-RESDEV-0007,New App Secret Added Then Service Principal Sign-In,testing,high,AuditLogs
resource-development/sharepoint-third-party-integration-secret-access.yml,SPLK-RESDEV-0006,SENT-RESDEV-0006,SharePoint or SaaS Third-Party Integration Secret Access,testing,high,AuditLogs
